manbalar	turkum	168394
aholi	punktlari	130690
alifbo	boʻyicha	125281
turkum	alifbo	123290
nbsp	km	107149
boʻyicha	aholi	102415
punktlari	turkum	89377
manbalar	havolalar	73516
tarkibiga	kiradi	72279
maydoni	nbsp	69314
istiqomat	qiladi	67546
aholi	istiqomat	65482
nafar	aholi	65354
joylashgan	kommuna	44782
aholisi	nafar	43977
geografiyasi	maydoni	40006
kiradi	aholisi	39319
dengiz	sathidan	36957
turkum	yilda	36667
mintaqasida	joylashgan	36366
balandlikda	joylashgan	36034
kishi	geografiyasi	35534
tumani	tarkibiga	34771
futbolchilari	turkum	33762
yangi	umumiy	32556
umumiy	katalog	32532
asl	nashrida	32517
katalog	asl	32514
nafar	kishi	32452
aholi	zichligi	31915
kvadrat	kilometrga	31175
har	kvadrat	31131
zichligi	har	31051
qiladi	aholi	30615
kilometrga	nafar	29602
jpg	thumb	28168
eng	yaxshi	28140
kiradi	maydoni	27609
omborida	ngc	27551
tugʻilganlar	turkum	27015
turkum	koordinatalar	26196
koordinatalar	vikimaʼlumotlarda	25974
va	boshqa	25781
havolalar	turkum	25402
sathidan	oʻrtacha	25053
joylashgan	manbalar	24479
yilda	tugʻilganlar	23115
bilan	birga	22883
oilasiga	mansub	22634
okrugi	tarkibiga	22527
rasmiy	sayti	22183
vikimaʼlumotlarda	turkum	21614
havolalar	rasmiy	21509
aholisi	kishi	21114
yashayotgan	insonlar	21080
joylashgan	shahar	20884
turkum	yashayotgan	20882
va	uning	20855
yana	qarang	20257
sayti	turkum	19699
terma	jamoasi	19657
ushbu	tur	19093
km	nafar	18944
insonlar	turkum	18912
bir	necha	18482
shtatida	joylashgan	18435
oʻzbekiston	respublikasi	18399
tashkil	etilgan	18164
u	yerda	18115
boʻlib	oʻtgan	17551
qiladi	geografiyasi	17508
vafot	etganlar	17209
oʻz	ichiga	17102
qarashli	qishloq	17024
futbolchilar	turkum	17009
nomi	bilan	16711
roʻyxatga	olish	16562
chala	maqolalar	16434
maʼlumotlariga	koʻra	16422
aholini	roʻyxatga	16411
manbalar	adabiyotlar	16335
va	u	16147
mansub	kuya	16042
oid	chala	16036
suratga	olingan	15827
km	shundan	15681
km	quruqlik	15656
shundan	nbsp	15572
qiladi	manbalar	15384
joylashgan	qishloq	15131
nashrida	ngc	15058
ngc	yangi	15054
bilan	bogʻliq	14986
qishloq	manbalar	14926
kuya	turi	14898
uchraydi	manbalar	14788
har	bir	14785
ijro	etgan	14765
tumanida	joylashgan	14763
vafot	etgan	14688
yerida	joylashgan	14586
tumaniga	qarashli	14545
yilda	vafot	14310
yilda	u	14032
km	manbalar	13943
joylashgan	demografiyasi	13936
va	boshqalar	13900
ilk	bor	13827
demografiyasi	manbalar	13721
provinsiyasi	tarkibiga	13557
qoʻlga	kiritdi	13433
erkak	futbolchilar	13322
va	yilda	13298
hududi	km	13257
geografiyasi	hududi	13221
esa	suv	13109
filmlari	turkum	13090
etganlar	turkum	13080
km	esa	13060
suv	maydonidir	13030
quruqlik	nbsp	13007
yulduz	turkumidagi	12634
tashkil	etadi	12620
km	aholisi	12592
turkum	germaniya	12565
extragalactic	database	12515
haqida	qayta	12497
qayta	tekshirilgan	12497
ic	obyektlari	12496
nasa	extragalactic	12495
ngc	ic	12495
tekshirilgan	maʼlumot	12494
simbad	omborida	12494
vizier	omborida	12494
database	omborida	12494
obyektlari	ombori	12494
olish	maʼlumotlariga	12460
bir	nechta	12318
turkum	oʻzbekiston	12207
geografiyasiga	oid	12009
yildan	yilgacha	11985
ishlab	chiqarish	11950
germaniya	shaharlari	11936
km	dir	11918
dir	dengiz	11912
qarshi	oʻyinda	11638
boʻlishi	mumkin	11426
maqolalar	turkum	10995
tumanidagi	qishloqlar	10877
manbalar	category	10836
u	yilda	10801
ega	boʻlgan	10744
jahon	chempionati	10728
ishtirok	etgan	10688
qilish	uchun	10675
tomonidan	suratga	10624
yil	iyun	10605
dan	ortiq	10542
of	the	10507
wikimedia	org	10452
upload	wikimedia	10443
org	wikipedia	10443
wikipedia	commons	10443
km	dengiz	10431
birinchi	marta	10351
commons	thumb	10331
link	upload	10308
yil	mart	10266
bundan	tashqari	10224
ushbu	kommuna	10131
kommuna	ushbu	10107
bir	qismi	10086
boʻlib	u	10053
etgan	manbalar	9931
ic	yangi	9928
nashrida	ic	9928
omborida	ic	9928
tomonidan	tavsiflangan	9903
yil	may	9902
tipli	galaktikadir	9900
qoʻlga	kiritgan	9731
tumanidagi	qishloq	9652
turi	ushbu	9556
yil	yanvarda	9471
departamentida	joylashgan	9402
bor	yilda	9380
oʻrinni	egalladi	9320
yil	yanvar	9315
shuning	uchun	9299
ichiga	oladi	9294
ni	tashkil	9292
tavsiflangan	ushbu	9288
jpg	link	9286
madaniy	meros	9280
milliy	futbol	9152
tashkil	qiladi	9105
qishloqlar	turkum	9098
shahar	va	9084
tashkil	etgan	8946
bu	yerda	8897
yil	oktabrda	8886
maydonidir	dengiz	8864
qishloq	xoʻjaligi	8861
yilda	rejissyor	8823
mavjud	manbalar	8712
shu	jumladan	8710
eʼlon	qildi	8653
va	bu	8651
bir	qator	8628
right	thumb	8623
tumani	aholi	8610
yil	iyul	8533
yil	avgustda	8498
yilgi	aholini	8475
futbol	terma	8436
yana	bir	8399
toshkent	yil	8394
yil	dekabrda	8259
ga	qarshi	8247
aholisi	aholisi	8220
bir	qancha	8214
bilan	bir	8192
sanoq	sistemasida	8133
yil	iyulda	8075
yildan	beri	7990
bosh	rollarni	7984
yil	avgust	7931
yil	aprelda	7922
yil	dekabr	7822
birinchi	jild	7821
qishloq	aholisi	7817
bu	esa	7793
jild	toshkent	7791
kishini	tashkil	7752
yil	noyabrda	7709
oʻzme	birinchi	7666
boʻlgan	va	7654
jahon	chempionatida	7644
ga	yaqin	7624
keng	tarqalgan	7617
yil	aprel	7600
provinsiyasi	kommunalari	7598
roʻyxatiga	kiritilgan	7566
ushbu	obyekt	7546
nashrida	mavjud	7531
havolalar	ngc	7529
maʼlumot	ngc	7529
obyekt	yangi	7527
ngc	haqida	7527
ngc	simbad	7527
ngc	vizier	7527
ngc	nasa	7527
ombori	ngc	7527
oʻziga	xos	7485
yilgi	mavsumda	7485
yil	fevralda	7464
nashr	etilgan	7454
yil	fevral	7355
hisobida	gʻalaba	7354
qishloqlari	turkum	7351
kishi	manbalar	7228
crambidae	oilasiga	7196
qarori	bilan	7184
holatiga	koʻra	7174
shu	bilan	7173
yil	noyabr	7119
jpg	right	7108
shartnoma	imzoladi	7093
turkum	hindiston	7089
eng	koʻp	7083
turkum	oʻzbekistondagi	7072
va	yil	7065
kashf	etgan	7052
bilan	yil	7051
turkum	yil	7045
yil	mayda	7010
eng	yuqori	6896
county	okrugi	6808
etgan	ushbu	6783
muhojir	erkak	6775
yil	martda	6770
yil	davomida	6747
boʻlib	oʻtdi	6736
yilda	kashf	6736
bilan	ham	6721
respublikasi	vazirlar	6668
va	qishloqlari	6655
deb	nomlangan	6652
har	qanday	6651
temir	yoʻl	6626
bilan	birgalikda	6608
deb	ataladi	6595
bor	edi	6573
u	yil	6571
buyuk	britaniya	6570
turkum	aqsh	6566
shahrida	tugʻilgan	6563
oʻrtasidagi	jahon	6540
ushbu	obyektni	6535
bir	xil	6528
geometridae	oilasiga	6477
ayollar	oʻrtasidagi	6449
shundan	soʻng	6425
yil	iyunda	6416
left	thumb	6405
bilan	shartnoma	6399
adabiyotlar	oʻzme	6358
eng	yirik	6347
yoshgacha	boʻlgan	6345
koʻchmas	mulk	6339
edi	u	6332
vazirlar	mahkamasining	6319
turkum	amerikalik	6312
bilan	mashhur	6309
miloddan	avvalgi	6292
olingan	manbalar	6272
turli	xil	6189
ta	gol	6153
bilan	tanilgan	6123
sistemasida	ga	6120
turi	tur	6119
boʻlib	ishlagan	6099
xizmat	koʻrsatgan	6084
oʻrinni	egallagan	6067
paydo	boʻlgan	6040
style	text-align	6039
galaktikadir	ushbu	6015
tumanidagi	mahallalar	6010
hindiston	shahar	6000
va	yillarda	5920
ichiga	olgan	5904
ishtirok	etdi	5895
moddiy	madaniy	5893
qayd	etilgan	5884
ikkinchi	jahon	5833
va	ta	5813
mulk	obyektlari	5797
tashkil	qilgan	5794
obyektlari	milliy	5787
milliy	terma	5778
departamenti	kommunalari	5745
soʻng	u	5725
qildi	va	5681
turkum	ispaniya	5671
milliy	roʻyxatiga	5635
eng	katta	5624
davlat	mulki	5621
davlat	muhofazasiga	5616
jahon	urushi	5603
muhofazasiga	olingan	5602
amerika	qoʻshma	5594
olib	keldi	5577
tur	ilk	5576
hududida	joylashgan	5545
tashkil	etdi	5531
mumkin	boʻlgan	5530
madaniy	merosning	5519
mahkamasining	qarori	5515
yil	oktyabrda	5514
aholi	punkti	5510
va	ularning	5507
merosning	koʻchmas	5505
jpg	left	5498
operativ	boshqaruv	5444
oʻzbekistondagi	madaniy	5442
yil	oktyabr	5436
boʻyicha	futbolchilar	5436
joylashgan	kommunadir	5420
huquqi	asosida	5413
ishlab	chiqarilgan	5406
va	bir	5399
yil	sentyabrda	5398
joylashgan	obyekt	5390
meros	boshqarmasi	5373
obyekt	davri	5365
obyekt	manzili	5365
boshqarmasi	operativ	5365
boshqaruv	huquqi	5364
aholi	soni	5358
qabul	qilingan	5345
kiritilgan	davlat	5303
asosida	oʻzbekiston	5300
may	oyida	5299
ispaniya	shaharlari	5293
xizmat	qilgan	5271
va	shu	5230
mart	oyida	5226
oʻsha	paytda	5211
olish	uchun	5175
kelib	chiqishi	5161
medalni	qoʻlga	5159
boʻldi	va	5155
hisobida	magʻlub	5146
ishlab	chiqilgan	5145
yilda	tugʻilgan	5140
viloyati	madaniy	5120
boʻlgan	huquq	5089
gʻalaba	qozondi	5086
koʻchmas	mulkka	5086
bilan	taqdirlangan	5081
mulkka	boʻlgan	5065
oʻzbekiston	ssr	5063
huquq	davlat	5063
iyun	oyida	5060
yilda	tashkil	5048
oktabrda	moddiy	5038
boʻyicha	filmlar	5032
shahrida	joylashgan	5024
roʻyxati	manbalar	5021
yilgi	yozgi	5010
erkak	futbolchilari	5007
va	yilgi	4996
ayollar	milliy	4996
yodgorligi	obyekt	4988
paydo	boʻldi	4972
yil	sentyabr	4970
havolalar	ic	4965
ombori	ic	4965
joylashgan	munisipalitet	4964
ic	haqida	4964
maʼlumot	ic	4964
ic	simbad	4964
ic	vizier	4964
ic	nasa	4964
hech	qanday	4951
iyul	oyida	4944
yilning	eng	4943
emas	balki	4927
yilgi	mavsum	4922
turkum	fc	4919
boʻlgan	u	4902
viloyatida	joylashgan	4897
kishi	havolalar	4889
yildan	boshlab	4868
va	uni	4863
tomonidan	ishlab	4835
istiqomat	qilgan	4826
arxeologiya	yodgorligi	4802
gʻalaba	qozongan	4787
klubi	futbolchilari	4761
tashkil	topgan	4748
klubi	bilan	4747
vafot	etdi	4742
jamoasi	bilan	4731
boʻlib	ular	4730
rollarni	ijro	4728
gol	urdi	4715
va	undan	4706
shaxsiy	hayoti	4703
obyekti	arxeologiya	4692
aholisi	kishini	4680
yanvar	oyida	4639
futbol	klubi	4637
kelib	chiqqan	4620
mavjud	boʻlgan	4586
xuddi	shu	4579
yillik	shartnoma	4560
qiladi	va	4558
joylashgan	boʻlib	4556
himoya	qilish	4553
gol	urgan	4529
har	yili	4526
turkum	yillar	4525
etdi	va	4513
turkum	asr	4508
qilish	va	4505
arxeologiya	yodgorliklari	4503
maydonga	tushdi	4480
sogʻliqni	saqlash	4478
mahallalar	turkum	4476
jpg	alt	4474
chop	etilgan	4470
oʻzbekistondagi	arxeologiya	4467
text-align	left	4465
erkak	va	4457
bugungi	kunda	4448
munitsipalitet	manbalar	4436
qishloq	qishloqda	4375
oʻzining	birinchi	4351
oyida	u	4351
shuningdek	u	4350
align	left	4343
boʻlgan	yilda	4339
shunday	qilib	4321
jamoasi	safida	4313
ahamiyatga	ega	4309
maʼmuriy	markazi	4298
mavjud	boʻlib	4289
toʻgʻri	keladi	4280
nafar	manbalar	4274
nafarni	tashkil	4258
va	qishloq	4249
olib	borgan	4242
uchun	moʻljallangan	4217
fanlar	akademiyasi	4215
saqlanib	qolgan	4210
oʻrta	osiyo	4207
eʼlon	qilindi	4188
sovet	ittifoqi	4177
de	la	4173
galaktika	tipli	4165
u	shuningdek	4143
maydonidir	manbalar	4132
bilan	qoplangan	4124
kerak	edi	4115
iyun	kuni	4110
ta	oʻyinda	4107
qilgan	manbalar	4073
sazovor	boʻldi	4071
kommuna	manbalar	4067
u	oʻzining	4063
u	yilgi	4063
biri	boʻlgan	4033
ham	tanilgan	4012
va	ular	4005
may	kuni	3999
sohiblari	turkum	3997
drama	filmi	3992
qilgan	va	3980
terma	jamoasining	3980
edi	yilda	3975
debyut	qildi	3969
filmi	filmda	3966
muhammad	ibn	3954
oʻsha	yili	3952
sazovor	boʻlgan	3948
olib	keladi	3948
ham	mavjud	3935
tomonidan	yilda	3935
yilga	kelib	3933
ikki	marta	3930
koʻchib	oʻtdi	3927
avgust	oyida	3922
in	the	3919
aprel	oyida	3896
xx	asr	3894
