word	form
abadiy	abadiyroq
ablah	
achchiq	achchiqroq
achimsiq	achimsiqroq
achinarli	achinarliroq
adabiy	adabiyroq
adiabatik	
adolatsiz	adolatsizroq
afsonaviy	afsonaviyroq
ahamiyatli	ahamiyatliroq
ahmoq	ahmoqroq
ajab	ajabroq
ajoyib	
aks	aksroq
anʼanaviy	anʼanaviyroq
arzon	arzonroq
asabiy	asabiyroq
asriy	asriyroq
astronomik	astronomikroq
axloqiy	axloqiyroq
axloqsiz	axloqsizroq
ayni	ayniroq
ayon	ayonroq
badiiy	badiiyroq
barqaror	barqarorroq
baxil	baxilroq
benazir	benazirroq
betaraf	betarafroq
bevafo	bevaforoq
boqi	boqiroq
boqiy	boqiyroq
boshqa	boshqaroq
boshqird	boshqirdroq
botil	botilroq
boʻsh	
bronli	bronliroq
burungi	burungiroq
buyuk	buyukroq
chegaradosh	
chuchuk	chuchuklar
chuchuk	chuchukning
chuchuk	chuchuklarning
chuchuk	chuchukka
chuchuk	chuchuklarga
chuchuk	chuchukni
chuchuk	chuchuklarni
chuchuk	chuchukda
chuchuk	chuchuklarda
chuchuk	chuchukdan
chuchuk	chuchuklardan
chuchuk	chuchukdek
chuchuk	chuchuklardek
chuchuk	chuchukim
chuchuk	chuchuklarim
chuchuk	chuchukimning
chuchuk	chuchuklarimning
chuchuk	chuchukimga
chuchuk	chuchuklarimga
chuchuk	chuchukimni
chuchuk	chuchuklarimni
chuchuk	chuchukimda
chuchuk	chuchuklarimda
chuchuk	chuchukimdan
chuchuk	chuchuklarimdan
chuchuk	chuchukimdek
chuchuk	chuchuklarimdek
chuchuk	chuchuking
chuchuk	chuchuklaring
chuchuk	chuchukingning
chuchuk	chuchuklaringning
chuchuk	chuchukingga
chuchuk	chuchuklaringga
chuchuk	chuchukingni
chuchuk	chuchuklaringni
chuchuk	chuchukingda
chuchuk	chuchuklaringda
chuchuk	chuchukingdan
chuchuk	chuchuklaringdan
chuchuk	chuchukingdek
chuchuk	chuchuklaringdek
chuchuk	chuchuki
chuchuk	chuchuklari
chuchuk	chuchukining
chuchuk	chuchuklarining
chuchuk	chuchukiga
chuchuk	chuchuklariga
chuchuk	chuchukini
chuchuk	chuchuklarini
chuchuk	chuchukida
chuchuk	chuchuklarida
chuchuk	chuchukidan
chuchuk	chuchuklaridan
chuchuk	chuchukidek
chuchuk	chuchuklaridek
chuchuk	chuchukimiz
chuchuk	chuchuklarimiz
chuchuk	chuchukimizning
chuchuk	chuchuklarimizning
chuchuk	chuchukimizga
chuchuk	chuchuklarimizga
chuchuk	chuchukimizni
chuchuk	chuchuklarimizni
chuchuk	chuchukimizda
chuchuk	chuchuklarimizda
chuchuk	chuchukimizdan
chuchuk	chuchuklarimizdan
chuchuk	chuchukimizdek
chuchuk	chuchuklarimizdek
chuchuk	chuchukingiz
chuchuk	chuchuklaringiz
chuchuk	chuchukingizning
chuchuk	chuchuklaringizning
chuchuk	chuchukingizga
chuchuk	chuchuklaringizga
chuchuk	chuchukingizni
chuchuk	chuchuklaringizni
chuchuk	chuchukingizda
chuchuk	chuchuklaringizda
chuchuk	chuchukingizdan
chuchuk	chuchuklaringizdan
chuchuk	chuchukingizdek
chuchuk	chuchuklaringizdek
chuqur	chuqurroq
daho	dahoroq
dahriy	dahriyroq
dastlabki	dastlabkiroq
davriy	davriyroq
diniy	diniyroq
doimiy	doimiyroq
dunyoviy	dunyoviyroq
emas	
erkin	erkinroq
eski	eskiroq
eston	estonroq
etnik	etnikroq
fahsh	
falsafiy	falsafiyroq
faol	faolroq
faqir	faqirroq
faraziy	faraziyroq
farqli	farqliroq
fasih	fasihroq
faxriy	faxriyroq
fojir	fojirroq
foniy	foniyroq
fransuz	fransuzroq
galaktik	
gall	gallroq
gigiyenik	
giriftor	giriftorroq
giriftor	giriftorlar
giriftor	giriftorning
giriftor	giriftorlarning
giriftor	giriftorga
giriftor	giriftorlarga
giriftor	giriftorni
giriftor	giriftorlarni
giriftor	giriftorda
giriftor	giriftorlarda
giriftor	giriftordan
giriftor	giriftorlardan
giriftor	giriftordek
giriftor	giriftorlardek
giriftor	giriftorim
giriftor	giriftorlarim
giriftor	giriftorimning
giriftor	giriftorlarimning
giriftor	giriftorimga
giriftor	giriftorlarimga
giriftor	giriftorimni
giriftor	giriftorlarimni
giriftor	giriftorimda
giriftor	giriftorlarimda
giriftor	giriftorimdan
giriftor	giriftorlarimdan
giriftor	giriftorimdek
giriftor	giriftorlarimdek
giriftor	giriftoring
giriftor	giriftorlaring
giriftor	giriftoringning
giriftor	giriftorlaringning
giriftor	giriftoringga
giriftor	giriftorlaringga
giriftor	giriftoringni
giriftor	giriftorlaringni
giriftor	giriftoringda
giriftor	giriftorlaringda
giriftor	giriftoringdan
giriftor	giriftorlaringdan
giriftor	giriftoringdek
giriftor	giriftorlaringdek
giriftor	giriftori
giriftor	giriftorlari
giriftor	giriftorining
giriftor	giriftorlarining
giriftor	giriftoriga
giriftor	giriftorlariga
giriftor	giriftorini
giriftor	giriftorlarini
giriftor	giriftorida
giriftor	giriftorlarida
giriftor	giriftoridan
giriftor	giriftorlaridan
giriftor	giriftoridek
giriftor	giriftorlaridek
giriftor	giriftorimiz
giriftor	giriftorlarimiz
giriftor	giriftorimizning
giriftor	giriftorlarimizning
giriftor	giriftorimizga
giriftor	giriftorlarimizga
giriftor	giriftorimizni
giriftor	giriftorlarimizni
giriftor	giriftorimizda
giriftor	giriftorlarimizda
giriftor	giriftorimizdan
giriftor	giriftorlarimizdan
giriftor	giriftorimizdek
giriftor	giriftorlarimizdek
giriftor	giriftoringiz
giriftor	giriftorlaringiz
giriftor	giriftoringizning
giriftor	giriftorlaringizning
giriftor	giriftoringizga
giriftor	giriftorlaringizga
giriftor	giriftoringizni
giriftor	giriftorlaringizni
giriftor	giriftoringizda
giriftor	giriftorlaringizda
giriftor	giriftoringizdan
giriftor	giriftorlaringizdan
giriftor	giriftoringizdek
giriftor	giriftorlaringizdek
goʻzal	goʻzalroq
gʻamzali	gʻamzaliroq
gʻarbiy	gʻarbiyroq
gʻaroyib	gʻaroyibroq
gʻayri	
gʻayriinsoniy	gʻayriinsoniyroq
gʻayriixtiyoriy	gʻayriixtiyoriyroq
gʻayriqonuniy	gʻayriqonuniyroq
gʻayrirasmiy	gʻayrirasmiyroq
gʻayrishuuriy	gʻayrishuuriyroq
gʻayritabiiy	gʻayritabiiyroq
gʻofil	gʻofilroq
gʻoyib	gʻoyibroq
haqir	haqirroq
harbiy	harbiyroq
hayron	hayronroq
hikmatli	hikmatliroq
hisobsiz	hisobsizroq
hissi	hissiroq
hur	hurroq
ibtidoiy	ibtidoiyroq
ijroiya	
ijtimoiy	ijtimoiyroq
ildam	ildamroq
iliq	iliqroq
ilmiy	ilmiyroq
imonli	imonliroq
insoniy	insoniyroq
iqtisodiy	iqtisodiyroq
irqiy	
irsiy	irsiyroq
ispan	ispanroq
issiq	issiqroq
italyan	italyanroq
ixtiyoriy	ixtiyoriyroq
izohli	izohliroq
jam	jamroq
janubiy	janubiyroq
jasur	jasurroq
jiddiy	jiddiyroq
jinni	jinniroq
jismoniy	jismoniyroq
johil	johilroq
joiz	joizroq
jonli	jonliroq
kar	karroq
kasrli	kasrliroq
katta	kattaroq
katta	kap-katta
kattakon	kattakonroq
keng	kengroq
kerak	
kerakli	kerakliroq
keraksiz	keraksizroq
kichik	kichikroq
kifoya	kifoyaroq
kimyoviy	
klassik	klassikroq
kommunist	
konstitutsiyaviy	konstitutsiyaviyroq
koʻk	koʻkroq
koʻk	koʻm-koʻk
koʻr	koʻrroq
koʻtarinki	koʻtarinkiroq
kuchli	kuchliroq
kuyik	kuyikroq
latish	latishroq
laziz	lazizroq
lazzatli	lazzatliroq
loyiq	loyiqroq
loyli	loyliroq
lozim	lozimroq
maftun	maftunroq
magʻrur	magʻrurroq
