word	pos_values
a	character
abad	noun
abadiy	adj
abadiyat	noun
abadiylashtirmoq	verb
abbreviatura	noun
abdullaev	name
abdullayev	name
aberratsiya	noun
ablah	adj
abzal	noun
achchiq	adj
achimsiq	adj
achinarli	adj
adab	noun
adabiy	adj
adabiyot	noun
adabiyotshunoslik	noun
adaptatsiya	noun
adash	noun
adashmoq	verb
adiabatik	adj
adirna	name
adolat	noun
adolatsiz	adj
adolatsizlik	noun
adyol	noun
aeroplan	noun
afgʻon	noun
afgʻoniston	name
aflotun	name
afrika	name
afsona	noun
afsonaviy	adj
afyun	noun
agar	conj
ahamiyat	noun
ahamiyatli	adj
ahl	noun
ahmoq	adj,noun
ahmoqlik	noun
aholi	noun
ahvol	noun
ajab	adj
ajal	noun
ajam	noun
ajdarho	noun
ajdod	noun
ajoyib	adj
ajratmoq	verb
aka	noun
aka-singil	noun
aka-uka	noun
akademiya	noun
akrobatika	noun
aks	adj
aksar	noun
aksariyat	noun
aksincha	conj
aksirmoq	verb
aktrisa	noun
aktyor	noun
akula	noun
akupunktura	noun
alabuta	noun
alam	noun
alayh	prep_phrase
alayhissalom	phrase
alayhossalom	phrase
alban	noun
albaniya	name
albatta	adv
albom	noun
alfavit	noun
algoritm	noun
alif	noun
alifbo	noun
alijon	name
alijonov	name
alisher	name
alkogolizm	noun
allergiya	noun
alloh	name
alomat	noun
aloqa	noun
alouddin	name
amaliyot	noun
amerika	name
amerikalik	noun
amfetamin	noun
amina	name
amir	noun
amirlik	noun
ammo	conj
ananas	noun
anarxistlik	noun
anarxizm	noun
anarxo-kapitalizm	noun
anatoliya	name
andijon	name
andorra	name
angar	noun
angishvona	noun
anglamoq	verb
angren	name
anhor	noun
anjir	noun
anketa	noun
anor	noun
antarktida	name
antilyos	name
antioxiya	name
antokiya	name
anʼana	noun
anʼanaviy	adj
aorta	noun
apelsin	noun
apr	noun
aprel	noun
aptechka	noun
apteka	noun
aqida	noun
aql	noun
aqlsizlik	noun
arab	noun
arabcha	adv
arabiston	name
arabshunos	noun
arabshunoslik	noun
aragonit	noun
aralashtirmoq	verb
araq	noun
araqxoʻr	noun
archa	noun
ardiston	name
argentina	name
ari	noun
ariza	noun
arman	noun
armaniston	name
armiya	noun
aroq	noun
arpa	noun
arra	noun
arslon	noun
